8.53042	0.0520833	2649	-1	4774	-1
19.7007	0.322234	2708	-1	175	-1
8.53042	0.0520833	2712	-1	786	-1
14.1359	0.176667	2732	-1	531	-1
16.7226	0.187363	2739	-1	3682	-1
11.9588	0.0833333	2767	-1	4738	-1
11.5599	0.09375	2776	-1	1440	-1
16.4448	0.15625	2795	-1	4599	-1
8.50053	0.0625	2825	-1	3024	-1
9.44146	0.103786	2898	-1	2750	-1
5.65318	0.25625	2956	-1	1505	-1
24.5972	0.458125	2956	-1	1530	-1
21.5285	0.65625	2986	-1	1849	-1
7.22132	0.0416667	3067	-1	512	-1
10.7066	0.09375	3069	-1	3845	-1
11.5599	0.09375	3082	-1	205	-1
5.56271	0.0416667	3107	-1	3559	-1
13.9752	0.135417	3205	-1	1809	-1
